Date,filename,rate_score,inf_score,guidance_score,qt_score,growth_soft_score
2020-11-05,FOMCpresconf20201105.txt,0.086226,0.122338,0.116665,0.128895,0.102336
2020-12-16,FOMCpresconf20201216.txt,0.105195,0.143112,0.132166,0.143693,0.126733
2021-01-27,FOMCpresconf20210127.txt,0.105384,0.163674,0.141290,0.146545,0.156647
2021-03-17,FOMCpresconf20210317.txt,0.101204,0.158072,0.135283,0.129858,0.141002
2021-04-28,FOMCpresconf20210428.txt,0.121223,0.190982,0.142849,0.133114,0.151166
2021-06-16,FOMCpresconf20210616.txt,0.140070,0.186156,0.170182,0.157989,0.153236
2021-07-28,FOMCpresconf20210728.txt,0.121680,0.199183,0.156237,0.163124,0.174133
2021-09-22,FOMCpresconf20210922.txt,0.115495,0.162470,0.140954,0.151347,0.156889
2021-11-03,FOMCpresconf20211103.txt,0.113074,0.158365,0.142088,0.157183,0.151926
2021-12-15,FOMCpresconf20211215.txt,0.140078,0.179714,0.152967,0.150018,0.139184
2022-01-26,FOMCpresconf20220126.txt,0.143436,0.181892,0.157859,0.147813,0.145975
2022-03-16,FOMCpresconf20220316.txt,0.154825,0.194938,0.162239,0.146611,0.145783
2022-05-04,FOMCpresconf20220504.txt,0.158581,0.192663,0.188641,0.166282,0.119760
2022-06-15,FOMCpresconf20220615.txt,0.163757,0.253614,0.198451,0.155267,0.134949
2022-07-27,FOMCpresconf20220727.txt,0.167997,0.220890,0.187295,0.160730,0.146561
2022-09-21,FOMCpresconf20220921.txt,0.170920,0.244196,0.194300,0.170161,0.150833
2022-11-02,FOMCpresconf20221102.txt,0.200104,0.244825,0.217043,0.193798,0.156651
2022-12-14,FOMCpresconf20221214.txt,0.174858,0.248000,0.204462,0.178256,0.148484
2023-02-01,FOMCpresconf20230201.txt,0.206046,0.263250,0.219566,0.203406,0.166179
2023-03-22,FOMCpresconf20230322.txt,0.143072,0.213818,0.154394,0.162030,0.137628
2023-05-03,FOMCpresconf20230503.txt,0.184747,0.251190,0.183366,0.184540,0.167858
2023-06-14,FOMCpresconf20230614.txt,0.176782,0.229054,0.189945,0.156328,0.162341
2023-07-26,FOMCpresconf20230726.txt,0.191691,0.277815,0.200364,0.173565,0.179579
2023-09-20,FOMCpresconf20230920.txt,0.173018,0.235650,0.208448,0.166936,0.142753
2023-11-01,FOMCpresconf20231101.txt,0.196766,0.267034,0.202879,0.183227,0.168522
2023-12-13,FOMCpresconf20231213.txt,0.182242,0.247330,0.222139,0.183648,0.146971
2024-01-31,FOMCpresconf20240131.txt,0.195995,0.285455,0.233128,0.189338,0.179371
2024-03-20,FOMCpresconf20240320.txt,0.170989,0.229161,0.208042,0.190967,0.159247
2024-05-01,FOMCpresconf20240501.txt,0.163726,0.248041,0.218534,0.183680,0.144282
2024-06-12,FOMCpresconf20240612.txt,0.160215,0.234666,0.195219,0.165027,0.156088
2024-07-31,FOMCpresconf20240731.txt,0.172026,0.220291,0.194138,0.172892,0.158051
2024-09-18,FOMCpresconf20240918.txt,0.163117,0.244470,0.197086,0.171682,0.167455
2024-11-07,FOMCpresconf20241107.txt,0.168027,0.226788,0.191897,0.173898,0.178623
2024-12-18,FOMCpresconf20241218.txt,0.165991,0.210492,0.193040,0.166773,0.152785
2025-01-29,FOMCpresconf20250129.txt,0.147396,0.201620,0.196823,0.157812,0.157687
2025-03-19,FOMCpresconf20250319.txt,0.140462,0.173469,0.191701,0.175364,0.130867
2025-05-07,FOMCpresconf20250507.txt,0.161480,0.219347,0.204001,0.158047,0.147987
2025-06-18,FOMCpresconf20250618.txt,0.104208,0.123283,0.125811,0.048973,0.070803
2025-07-30,FOMCpresconf20250730.txt,0.162128,0.231749,0.205696,0.169197,0.169033
2025-09-17,FOMCpresconf20250917.txt,0.148762,0.217026,0.178038,0.161169,0.174719
